Congruent,Incongruent,,Congruent,Incongruent,,平均数之差,两组数据差的标准偏差,点样本(两组数据平均差),t统计量
12.079,19.278,平均数>,14.051125,22.01591667,,-7.199,4.86482691,-7.964791667,-8.020706944
16.791,18.741,中位数>,13.36,21.02,,-1.95,,,
9.564,21.214,Q1>,11.71,18.69,,-11.65,,,
8.63,15.687,Q3>,16.4,24.21,,-7.057,,,
14.669,22.803,IQR>,4.69,5.52,,-8.134,,,
12.238,20.878,Q1-1.5IQR>,4.675,10.41,,-8.64,,,
14.692,24.572,Q3+1.5IQR>,23.435,32.49,,-9.88,,,
8.987,17.394,样本标准偏差>,3.559357958,4.797057122,,-8.407,,,
9.401,20.762,,,,,-11.361,,,
14.48,26.282,,,,,-11.802,,,
22.328,24.524,,,,,-2.196,,,
15.298,18.644,,,,,-3.346,,,
15.073,17.51,,,,,-2.437,,,
16.929,20.33,,,,,-3.401,,,
18.2,35.255,,,,,-17.055,,,
12.13,22.158,,,,,-10.028,,,
18.495,25.139,,,,,-6.644,,,
10.639,20.429,,,,,-9.79,,,
11.344,17.425,,,,,-6.081,,,
12.369,34.288,,,,,-21.919,,,
12.944,23.894,,,,,-10.95,,,
14.233,17.96,,,,,-3.727,,,
19.71,22.058,,,,,-2.348,,,
16.004,21.157,,,,,-5.153,,,